Year,Country,Fuels_Coal,Fuels_Oil,Fuels_Gas,Fuels_Cement,Fuels_Flaring,Fuels_Bunkers,Fuels_Total
2004,World,2968.49695206077,3005.0587261174,1435.66523303258,245.244483896716,93.5182090156709,246.56134514914,7994.544949272277
2005,World,3153.31348174104,3031.98799254533,1466.96553132365,263.084150485254,94.9735742663272,256.420367605274,8266.745097966876
2006,World,3329.48203695773,3059.80077690548,1512.98963182405,286.935251399447,94.854960928162,270.698459148936,8554.761117163805
2007,World,3490.33294694924,3070.08983330953,1563.93378311375,308.177439996845,93.6965686193939,286.315911797749,8812.546483786507
2008,World,3603.65993108767,3058.30666546017,1608.72527504678,312.055299955122,91.3644656073644,289.056660364082,8963.168297521188
2009,World,3557.07278231945,2991.73319934339,1568.93092079923,320.802012022779,90.1820999956387,277.016470829154,8805.73748530964
2010,World,3804.7949529699,3092.24194016074,1690.25844926591,342.487349532971,93.1877292805689,294.691379299615,9317.661800509704
2011,World,4020.54412794385,3097.29074549684,1739.34464101884,368.225237809727,98.118859552951,302.479061970278,9626.002673792487
2012,World,4065.65009676006,3138.15971367299,1774.70116415802,377.774353482804,102.97896298602,299.305773219534,9758.570064279427
2013,World,4090.90709753712,3161.5886632115,1783.93781028097,393.805273329898,105.220325791634,303.679959392696,9839.139129543815
2014,World,4095.54735469452,3171.81911042789,1814.03854902095,409.253849261228,105.631550442769,305.789817785,9902.080231632355
2015,World,4001.66715543203,3243.82660368807,1851.35229224717,394.226540853343,104.878608232719,316.617825179359,9912.569025632689
2016,World,3909.79380748378,3277.00922369837,1902.28121080484,404.715237599444,102.140757729239,320.327221580295,9916.267458895967
2017,World,3954.60704137996,3335.04889377998,1943.59356870237,410.625015826635,105.754054658208,334.645954584541,10084.274528931694
2018,World,4018.8986734121,3348.09979579705,2046.40314998158,427.34786145056,111.160988361565,344.274353805644,10296.184822808498
2019,World,4007.72732899367,3378.26129159198,2080.08380753275,440.986929023251,118.839383550507,345.030166414951,10370.928907107109
2020,World,3882.61877016353,2985.53288934768,2062.02583037698,445.70050716688,108.766185105432,245.038764260399,9729.682946420902
2021,World,4089.11489166092,3153.92656680274,2162.14831093691,461.900586667659,110.106159146853,247.820160774294,10225.016675989378
2022,World,4153.74001639108,3253.39314629241,2114.78618796172,438.175248018688,108.474835232623,286.392329356314,10354.961763252835
